user_id,word,raw_score
user0,kinship,1
user0,mixture,5
user0,referee,3
user0,genesis,5
user0,nuance,4
user0,takeoff,5
user0,stein,2
user0,ferment,2
user0,ethic,5
user0,quirk,1
user0,stir,5
user0,purport,3
user0,puzzling,4
user0,toe,5
user0,revolt,3
user0,entry,5
user0,knight,5
user0,canary,2
user0,chef,4
user0,bizarre,1
user0,stadium,4
user0,coincidence,4
user0,adage,4
user0,entrench,2
user0,ovary,1
user0,over,5
user0,promptly,4
user0,right,5
user0,debut,4
user0,plagiarism,1
user0,infrequent,4
user0,upside,4
user0,palm,5
user0,prediction,4
user0,fried,5
user0,burglary,2
user0,breathless,4
user0,spectacle,3
user0,deodorant,5
user0,sexist,1
user0,join,5
user0,suppression,2
user0,consequently,4
user0,dot,5
user0,provide,5
user0,shingle,1
user0,exclusion,5
user0,bowling,3
user0,mow,2
user0,arbitrary,1
user0,unnecessary,5
user0,general,5
user0,allude,1
user0,debt,5
user0,fragrance,2
user0,subscribe,3
user0,reporter,4
user0,elective,4
user0,awesome,2
user0,polyglot,1
user0,cure,5
user0,resistant,4
user0,maxim,4
user0,rust,3
user0,sail,5
user0,armored,2
user0,flood,5
user0,robot,4
user0,tangled,1
user0,fiscal,1
user0,homeroom,4
user0,kilogram,4
user0,sterilize,2
user0,impart,2
user0,ultimatum,1
user0,apparel,4
user0,rally,2
user0,catastrophic,4
user0,versus,4
user0,asking,4
user0,cupboard,2
user0,rising,4
user0,warfare,3
user0,need,5
user0,Islam,4
user0,gradually,4
user0,including,4
user0,antarctic,1
user0,transform,5
user0,scholarly,4
user0,approval,5
user0,botanist,1
user0,lifelong,2
user0,goodbye,5
user0,Mr.,5
user0,poem,5
user0,stun,1
user0,subdivide,4
user0,contact,5
user0,schematic,1
user0,attract,3
user0,abide,3
user0,anchor,4
user0,bead,2
user0,certainty,2
user0,guarded,4
user0,available,5
user0,institution,5
user0,flock,3
user0,chairman,5
user0,product,3
user0,envision,4
user0,casting,4
user0,foolish,5
user0,yesterday,5
user0,singular,1
user0,skin,5
user0,sheet,4
user0,mock,2
user0,procurement,2
user0,contemplation,2
user0,expect,5
user0,illogical,4
user0,effect,5
user0,shirt,5
user0,yoke,2
user0,eligible,2
user0,undertaking,2
user0,accomplished,3
user0,proudly,4
user0,disparity,1
user0,banish,3
user0,limited,5
user0,muddle,2
user0,apple,5
user0,caption,5
user0,remind,4
user0,rampant,1
user0,cozy,1
user0,bureaucrat,1
user0,hierarchical,4
user0,accusation,2
user0,repeal,5
user0,beget,2
user0,envelope,5
user0,bloom,5
user0,lively,4
user0,politic,2
user0,bruise,1
user0,convent,3
user0,peacefully,4
user0,decipher,1
user0,lucid,3
user0,depression,5
user0,cloud,5
user0,means,5
user0,weakness,5
user0,fact,5
user0,interesting,5
user0,socioeconomic,1
user0,flaunt,2
user0,yoga,4
user0,population,5
user0,pistol,4
user0,entail,3
user0,deference,3
user0,indistinct,4
user0,convince,3
user0,launch,3
user0,suspense,4
user0,banquet,1
user0,survey,5
user0,revoke,3
user0,affair,5
user0,predominantly,4
user0,magnify,3
user0,borrow,5
user0,bilingual,2
user0,kitty,5
user0,dispatch,3
user0,household,4
user0,apricot,5
user0,bemoan,1
user0,purity,1
user0,must,5
user0,lot,5
user0,rice,5
user0,swine,1
user0,militia,1
user0,expatriate,1
user0,tumult,1
user0,entourage,1
user0,imperfect,4
user0,mist,5
user0,confrontation,4
user0,loot,2
user0,trial,4
user0,ebb,2
user0,alternately,5
user0,start,5
user0,inscription,3
user0,slick,2
user0,fuck,4
user0,alpha,4
user0,Messrs.,1
user0,molding,2
user0,dagger,2
user0,eight,5
user0,excerpt,1
user0,pajamas,4
user0,percent,5
user0,ever,5
user0,gregarious,1
user0,compute,3
user0,duke,2
user0,thrifty,2
user0,aptitude,2
user0,imprint,2
user0,impede,2
user0,laptop,5
user0,drab,1
user0,infrastructure,2
user0,exhaust,3
user0,haunt,3
user0,irresistible,3
user0,woman,5
user0,diversify,4
user0,misconception,2
user0,whenever,5
user0,light,5
user0,buildup,4
user0,rowdy,1
user0,parity,2
user0,composite,2
user0,ensemble,2
user0,gossip,4
user0,refresh,5
user0,jog,5
user0,exhausting,3
user0,tenacious,1
user0,rag,2
user0,harrow,2
user0,affluence,2
user0,laborious,2
user0,quaver,1
user0,prosperous,1
user0,envy,5
user0,hierarchy,5
user0,sophisticated,5
user0,ox,3
user0,palpable,1
user0,rejection,4
user0,manpower,4
user0,thong,2
user0,announcement,4
user0,pollute,5
user0,terminus,2
user0,organize,5
user0,arched,2
user0,volcanic,1
user0,outlet,2
user0,usually,5
user0,farther,5
user0,regarding,3
user0,prevailing,5
user0,latest,5
user0,beach,5
user0,difficulty,4
user0,seismic,1
user0,conceal,5
user0,butterfly,5
user0,primitive,3
user0,copper,5
